x,y
-51.652000,-77.504999
-51.852000,-77.304999
-52.052000,-77.104999
-52.252000,-76.904999
-52.452000,-76.704999
-52.652000,-76.504999
-52.852000,-76.304999
-53.052000,-76.104999
-53.252000,-75.904999
-53.452000,-75.704999
-53.652000,-75.504999
-53.852000,-75.304999
-54.052000,-75.104999
-54.252000,-74.904999
-54.452000,-74.704999
-54.652000,-74.504999
-54.852000,-74.304999
-55.052000,-74.104999
-55.252000,-73.904999
-55.452000,-73.704999
-55.652000,-73.504999
-55.852000,-73.304999
-56.052000,-73.104999
-56.252000,-72.904999
-56.252000,-72.704999
-56.252000,-72.504999
-56.252000,-72.304999
-56.252000,-72.104999
-56.252000,-71.904999
-56.252000,-71.704999
-56.452000,-71.504999
-56.652000,-71.304999
-56.852000,-71.104999
-57.052000,-70.904999
-57.252000,-70.704999
-57.452000,-70.504999
-57.652000,-70.304999
-57.852000,-70.104999
-58.052000,-69.904999
-58.252000,-69.704999
-58.252000,-69.504999
-58.252000,-69.304999
-58.252000,-69.104999
-58.252000,-68.904999
-58.252000,-68.704999
-58.252000,-68.504999
-58.252000,-68.304999
-58.252000,-68.104999
-58.252000,-67.904999
-58.252000,-67.704999
-58.252000,-67.504999
-58.252000,-67.304999
-58.252000,-67.104999
-58.252000,-66.904999
-58.252000,-66.704999
-58.252000,-66.504999
-58.252000,-66.304999
-58.252000,-66.104999
-58.252000,-65.904999
-58.252000,-65.704999
-58.252000,-65.504999
-58.452000,-65.304999
-58.652000,-65.104999
-58.852000,-64.904999
-59.052000,-64.704999
-59.252000,-64.504999
-59.452000,-64.304999
-59.652000,-64.104999
-59.852000,-63.904999
-60.052000,-63.704999
-60.252000,-63.504999
-60.452000,-63.304999
-60.652000,-63.104999
-60.852000,-62.904999
-61.052000,-62.704999
-61.252000,-62.504999
-61.452000,-62.304999
-61.452000,-62.104999
-61.452000,-61.904999
-61.452000,-61.704999
-61.452000,-61.504999
-61.452000,-61.304999
-61.452000,-61.104999
-61.452000,-60.904999
-61.652000,-60.704999
-61.852000,-60.504999
-62.052000,-60.304999
-62.052000,-60.104999
-62.052000,-59.904999
-62.052000,-59.704999
-62.052000,-59.504999
-62.052000,-59.304999
-62.052000,-59.104999
-62.052000,-58.904999
-62.052000,-58.704999
-62.052000,-58.504999
-62.052000,-58.304999
-62.052000,-58.104999
-62.052000,-57.904999
-62.052000,-57.704999
-62.052000,-57.504999
-62.052000,-57.304999
-62.052000,-57.104999
-62.052000,-56.904999
-62.052000,-56.704999
-62.052000,-56.504999
-62.052000,-56.304999
-62.052000,-56.104999
-62.052000,-55.904999
-62.052000,-55.704999
-62.052000,-55.504999
-62.052000,-55.304999
-62.052000,-55.104999
-62.052000,-54.904999
-62.052000,-54.704999
-62.052000,-54.504999
-62.052000,-54.304999
-62.052000,-54.104999
-62.052000,-53.904999
-62.052000,-53.704999
-62.052000,-53.504999
-62.052000,-53.304999
-62.052000,-53.104999
-62.052000,-52.904999
-62.052000,-52.704999
-62.052000,-52.504999
-62.052000,-52.304999
-62.052000,-52.104999
-62.052000,-51.904999
-62.052000,-51.704999
-62.052000,-51.504999
-62.052000,-51.304999
-62.052000,-51.104999
-62.052000,-50.904999
-62.052000,-50.704999
-62.052000,-50.504999
-62.052000,-50.304999
-62.052000,-50.104999
-62.052000,-49.904999
-62.052000,-49.704999
-62.052000,-49.504999
-62.052000,-49.304999
-62.052000,-49.104999
-62.052000,-48.904999
-62.052000,-48.704999
-62.052000,-48.504999
-62.052000,-48.304999
-62.052000,-48.104999
-62.052000,-47.904999
-62.052000,-47.704999
-62.052000,-47.504999
-62.052000,-47.304999
-62.052000,-47.104999
-62.052000,-46.904999
-62.052000,-46.704999
-62.052000,-46.504999
-62.052000,-46.304999
-62.052000,-46.104999
-62.052000,-45.904999
-62.052000,-45.704999
